sensor1	sensor2	sensor3	sensor4	
15.5	27.8	-1.7	10.6	
15.5	27.8	3.2	-1.7	
13.1	18.0	3.2	8.2	
22.9	27.8	0.8	0.8	
20.5	32.8	5.7	8.2	
13.1	37.7	20.5	8.2	
27.8	32.8	18.0	8.2	
27.8	18.0	8.2	-4.1	
22.9	5.7	10.6	15.5	
25.4	3.2	3.2	13.1	
25.4	13.1	10.6	20.5	
20.5	25.4	10.6	25.4	
22.9	10.6	13.1	22.9	
18.0	5.7	13.1	-11.5	
15.5	18.0	8.2	-23.8	
20.5	22.9	15.5	-1.7	
15.5	22.9	8.2	22.9	
20.5	35.2	0.8	32.8	
27.8	42.6	0.8	47.5	
27.8	35.2	8.2	15.5	
10.6	27.8	10.6	32.8	
10.6	27.8	5.7	5.7	
8.2	32.8	8.2	-26.3	
8.2	45.1	8.2	-38.6	
8.2	57.4	8.2	-41.0	
8.2	47.5	10.6	0.8	
5.7	69.7	3.2	22.9	
-1.7	37.7	13.1	32.8	
-6.6	82.0	8.2	42.6	
3.2	54.9	3.2	50.0	
0.8	30.3	10.6	50.0	
15.5	32.8	8.2	32.8	
13.1	27.8	10.6	15.5	
22.9	13.1	15.5	-14.0	
8.2	0.8	22.9	13.1	
13.1	3.2	15.5	-11.5	
18.0	27.8	20.5	-23.8	
20.5	30.3	13.1	-31.2	
15.5	27.8	18.0	-14.0	
13.1	32.8	18.0	54.9	
10.6	27.8	18.0	37.7	
5.7	30.3	15.5	13.1	
0.8	32.8	18.0	-36.1	
-1.7	25.4	13.1	-55.8	
3.2	30.3	18.0	-18.9	
5.7	35.2	20.5	-21.4	
3.2	37.7	20.5	-9.1	
0.8	40.1	5.7	3.2	
0.8	32.8	13.1	22.9	
3.2	30.3	5.7	18.0	
13.1	27.8	13.1	13.1	
15.5	22.9	18.0	-1.7	
18.0	25.4	22.9	10.6	
13.1	35.2	18.0	8.2	
13.1	27.8	13.1	-1.7	
5.7	25.4	13.1	-14.0	
10.6	27.8	18.0	-6.6	
8.2	32.8	18.0	15.5	
18.0	27.8	20.5	30.3	
8.2	32.8	13.1	30.3	
10.6	15.5	15.5	30.3	
15.5	5.7	18.0	3.2	
25.4	8.2	13.1	-14.0	
20.5	15.5	10.6	5.7	
18.0	42.6	18.0	8.2	
27.8	27.8	18.0	20.5	
30.3	45.1	10.6	18.0	
15.5	45.1	10.6	-4.1	
3.2	42.6	5.7	0.8	
18.0	37.7	18.0	8.2	
5.7	35.2	25.4	13.1	
5.7	30.3	22.9	-1.7	
5.7	30.3	8.2	18.0	
15.5	20.5	8.2	-4.1	
18.0	30.3	22.9	-11.5	
18.0	13.1	30.3	0.8	
35.2	27.8	0.8	-4.1	
18.0	25.4	-1.7	18.0	
30.3	35.2	3.2	15.5	
27.8	40.1	3.2	10.6	
20.5	45.1	0.8	-1.7	
32.8	57.4	3.2	15.5	
18.0	35.2	10.6	22.9	
25.4	32.8	13.1	18.0	
32.8	18.0	5.7	15.5	
27.8	25.4	8.2	8.2	
10.6	30.3	8.2	3.2	
3.2	22.9	13.1	37.7	
8.2	27.8	13.1	30.3	
-1.7	30.3	15.5	0.8	
-1.7	20.5	13.1	-41.0	
3.2	22.9	10.6	-14.0	
0.8	40.1	3.2	15.5	
13.1	25.4	3.2	18.0	
18.0	25.4	8.2	-1.7	
25.4	22.9	0.8	-11.5	
22.9	37.7	5.7	-11.5	
20.5	30.3	8.2	-14.0	
20.5	45.1	8.2	0.8	
18.0	42.6	8.2	25.4	
5.7	50.0	0.8	20.5	
0.8	42.6	8.2	40.1	
3.2	40.1	8.2	22.9	
3.2	32.8	5.7	13.1	
0.8	35.2	8.2	15.5	
10.6	27.8	10.6	5.7	
8.2	25.4	5.7	0.8	
10.6	32.8	8.2	10.6	
13.1	35.2	-1.7	-9.1	
32.8	32.8	13.1	-14.0	
27.8	32.8	15.5	18.0	
25.4	18.0	20.5	18.0	
35.2	25.4	15.5	5.7	
35.2	35.2	22.9	-4.1	
30.3	40.1	20.5	10.6	
27.8	47.5	18.0	15.5	
35.2	37.7	8.2	25.4	
37.7	37.7	-1.7	30.3	
37.7	27.8	-1.7	18.0	
45.1	37.7	5.7	-9.1	
40.1	30.3	8.2	-6.6	
37.7	13.1	5.7	-18.9	
25.4	45.1	5.7	5.7	
32.8	22.9	5.7	-1.7	
35.2	27.8	10.6	22.9	
25.4	15.5	5.7	18.0	
15.5	8.2	15.5	13.1	
30.3	13.1	25.4	18.0	
20.5	27.8	10.6	-9.1	
22.9	22.9	15.5	-9.1	
22.9	8.2	27.8	-31.2	
20.5	8.2	25.4	-38.6	
32.8	3.2	5.7	-16.4	
18.0	-1.7	25.4	20.5	
18.0	-11.5	18.0	15.5	
22.9	0.8	8.2	5.7	
27.8	3.2	15.5	22.9	
22.9	-1.7	25.4	-4.1	
15.5	15.5	20.5	8.2	
22.9	45.1	22.9	18.0	
20.5	57.4	35.2	13.1	
20.5	40.1	15.5	10.6	
13.1	37.7	18.0	10.6	
5.7	47.5	18.0	15.5	
10.6	35.2	20.5	3.2	
0.8	22.9	15.5	0.8	
13.1	10.6	15.5	-14.0	
