sensor1	sensor5	sensor7	sensor8	
30.3	-215.7	-122.2	-43.5	
30.3	-200.9	-161.6	-63.2	
22.9	-161.6	-171.4	20.5	
10.6	-139.4	-181.3	-63.2	
-1.7	-122.2	-218.2	-196.0	
18.0	-102.5	-225.5	-107.5	
10.6	-82.9	-223.1	-127.1	
-18.9	-53.3	-242.8	-95.2	
-23.8	-43.5	-213.2	-26.3	
-6.6	-33.7	-215.7	-75.5	
-1.7	-36.1	-191.1	-85.3	
-14.0	-26.3	-191.1	-80.4	
-16.4	-21.4	-141.9	-82.9	
-4.1	-21.4	-36.1	-68.1	
-11.5	-21.4	99.2	-11.5	
-14.0	-18.9	222.2	37.7	
-21.4	-18.9	310.7	25.4	
5.7	-18.9	391.9	77.0	
-16.4	-14.0	448.5	79.5	
5.7	-16.4	505.1	86.9	
3.2	-23.8	544.4	91.8	
5.7	-33.7	605.9	111.5	
5.7	-18.9	660.1	121.3	
5.7	-33.7	687.1	126.2	
0.8	-23.8	701.9	141.0	
-4.1	-46.0	724.0	163.1	
-14.0	-41.0	756.0	165.6	
0.8	-38.6	775.7	168.1	
27.8	-53.3	807.7	175.4	
22.9	-41.0	829.8	165.6	
20.5	-55.8	849.5	177.9	
22.9	-50.9	817.5	160.7	
18.0	-60.7	795.4	148.4	
18.0	-58.3	785.5	145.9	
20.5	-73.0	758.5	141.0	
18.0	-63.2	716.6	133.6	
30.3	-50.9	684.7	121.3	
18.0	-43.5	633.0	123.8	
-4.1	-38.6	583.8	116.4	
-1.7	-48.4	524.8	118.9	
13.1	-26.3	478.0	121.3	
3.2	-9.1	421.4	109.0	
8.2	0.8	374.7	89.3	
5.7	13.1	318.1	96.7	
25.4	25.4	266.5	45.1	
32.8	45.1	239.4	20.5	
40.1	52.4	197.6	30.3	
37.7	54.9	195.1	35.2	
22.9	67.2	190.2	91.8	
30.3	57.4	209.9	99.2	
20.5	57.4	217.3	143.5	
13.1	42.6	264.0	173.0	
3.2	57.4	298.4	175.4	
13.1	35.2	362.4	165.6	
57.4	45.1	414.1	123.8	
8.2	47.5	487.9	138.5	
5.7	50.0	556.7	165.6	
8.2	42.6	637.9	170.5	
42.6	37.7	674.8	126.2	
52.4	40.1	697.0	99.2	
18.0	42.6	724.0	109.0	
-1.7	42.6	753.5	89.3	
5.7	47.5	807.7	84.4	
-4.1	52.4	829.8	116.4	
-9.1	52.4	834.7	111.5	
-16.4	52.4	824.9	131.2	
0.8	50.0	810.1	91.8	
3.2	45.1	792.9	67.2	
-4.1	52.4	807.7	-9.1	
-14.0	42.6	795.4	-1.7	
-9.1	22.9	790.4	5.7	
-9.1	5.7	802.7	67.2	
-4.1	0.8	820.0	165.6	
8.2	-9.1	817.5	109.0	
5.7	0.8	800.3	106.6	
3.2	-4.1	790.4	128.7	
10.6	-9.1	741.2	113.9	
5.7	-18.9	682.2	126.2	
15.5	-31.2	669.9	133.6	
20.5	-31.2	660.1	143.5	
22.9	-31.2	630.5	158.2	
20.5	-28.7	559.2	158.2	
25.4	-38.6	492.8	168.1	
32.8	-31.2	416.5	150.8	
25.4	-31.2	364.9	145.9	
27.8	-31.2	335.3	128.7	
20.5	-23.8	288.6	145.9	
22.9	-21.4	256.6	138.5	
22.9	-21.4	222.2	141.0	
20.5	-11.5	219.7	133.6	
20.5	-9.1	207.4	104.1	
20.5	-1.7	192.7	84.4	
15.5	8.2	207.4	47.5	
27.8	18.0	236.9	69.7	
22.9	35.2	227.1	20.5	
18.0	57.4	249.2	32.8	
22.9	64.7	325.5	54.9	
25.4	72.1	340.3	54.9	
20.5	74.6	357.5	32.8	
27.8	99.2	320.6	25.4	
22.9	111.5	298.4	47.5	
25.4	123.8	271.4	37.7	
10.6	133.6	222.2	-9.1	
3.2	136.1	165.6	30.3	
13.1	165.6	40.1	10.6	
